_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-750.56665,-38.29332893052494,241.26652116979486,1,498,20755.037041542437,2.5209079004801396,0,5,2.9399164170960286,1.7864365595714435e-16,-3.918380891064448,5.103900684585344,0.9999998225041308,-37.508651451550996,-81.66187104670722,20.0,126.96949572655738,60,742.6757115452892,-5.334477304330676e-10,-5.083835505903522e-07
-723.2,-36.28638000587949,261.96680320873867,1,498,23859.104291384894,2.4575866188769413,0,5,2.742654083425656,-9.701897740366618e-17,-3.2053081087963524,4.745762409254025,0.9999998285429998,-35.35802652302656,-72.74711031463835,20.0,136.06624881579802,120,211.83511314838688,-6.445288747158884e-11,-9.725280580852314e-10
-670.7833,-38.08377582344355,270.8744253132606,2,497,22950.642934685056,2.449202199585324,0,5,2.724657481246401,7.686390362499957e-17,-3.2896301868380147,4.191631996001882,0.9999998459738862,-34.42754539397282,-77.14277070767201,20.0,168.60529951387824,180,171.08073069006306,-2.651212582804874e-13,-4.3942627314663696e-13
-649.25,-36.86878507189259,264.9047359825803,1,498,22029.91652810576,2.416984213391399,0,5,2.7524533256444506,2.5786344974055534e-17,-3.5645651038441573,4.220565075630587,0.9999998423299038,-33.53664090556869,-78.75212667338148,20.0,160.90192521546837,240,161.00349992241485,-1.2637890733913082e-11,-1.2667200621763186e-11
-525.0,-32.498345629821685,292.82594517476815,1,496,23473.44387183925,2.262508916743096,0,5,2.8233748120319766,-4.923765008833875e-17,-3.6558275032393466,3.5184871898957457,0.999999860133082,-30.311922282675674,-82.58772854140197,20.0,204.4701842229173,300,207.67080660802608,-9.813927448476534e-12,-8.609557511363164e-12
-549.85,-29.862080123488916,261.8625025145846,1,496,21685.510464789524,2.301146650573325,0,5,2.7938409704469387,1.1435006811669285e-17,-2.9680999608612537,3.861853100883396,0.9999998502040419,-31.56150439884491,-71.19007544604206,20.0,178.2624783294678,360,178.63681476653832,-1.969158169856655e-11,-1.662514570455187e-11
-503.11667,-31.219993103983334,278.85167618842297,1,498,23290.917527911533,2.292874851783982,0,5,2.7564146844564967,3.0636746179157063e-18,-3.2056536965747298,3.501113142029236,0.999999861949921,-30.722345987264102,-77.16426467723325,20.0,209.88753817876847,420,210.07648446224331,-7.183587058534613e-12,-6.351807968485446e-12
-402.38333,-27.12969239531714,278.9696589769308,1,494,21040.75359296294,2.254262788365095,0,5,2.6467345869101786,0.0,-3.3299812106620057,3.3845656099734165,0.9999998602366764,-28.43279414575336,-76.08451506614145,20.0,204.77352686367297,480,206.23522132781014,-3.6272229664291444e-10,-1.6938672686706013e-11
-339.13333,-27.050471465398875,290.6410603191777,1,498,20324.714278345564,2.212740059507709,0,5,2.687903690342761,0.0,-3.0153614710680086,3.2403044568994672,0.9999998577069213,-25.54405537039284,-67.92650196003629,20.0,197.5573783845428,540,201.9521450019464,-0.011350301448803668,-1.3674639198768546e-10
-264.91666,-21.664541010823633,313.34120951751487,1,498,19937.091936937595,2.125578321216127,0,5,2.5969201050686954,1.4088752196168544e-17,-3.1972224257198745,2.9668732301337015,0.9999998663898011,-24.330989400884878,-72.26983793563575,20.0,226.45988851902214,600,229.0238508834942,-0.009343565569596146,-0.007962976142654288
-291.53333,-22.20696786104854,304.2040572792363,1,496,19598.75609332369,2.1364856801909307,0,5,2.6354587712746564,3.391612103866827e-17,-3.871657966261548,3.170026120040142,0.9999998571602058,-24.303138030285474,-78.5955471033631,20.0,197.59988858175868,660,199.43955372941588,-0.0093099462808921,-0.009529709765595529
-334.3,-24.5007145035285,277.3583200425306,1,498,21954.314987927344,2.1799574694311534,0,5,2.4535270582655793,2.2664840056143547e-17,-3.7030575620257506,3.4945997271607365,0.9999998447624209,-24.900267699108806,-72.73036167327561,20.0,169.1814592369019,720,172.0887556610285,-0.017176030267448406,-0.016693026115665477
-246.5,-20.534018184322008,298.26702161987737,1,498,18368.717179609408,2.0998709261051953,0,5,2.496802177596142,0.0,-3.298069363780469,2.9511085642984836,0.9999998599714769,-22.073512452479207,-69.25384479736073,20.0,205.58094786156684,780,209.4540248759729,-0.008486080920808714,-0.008994853154605131
-277.6,-23.469843213831258,283.12978656622727,1,498,20230.8731428923,2.128531073446328,0,5,2.628332242756977,0.0,-2.931005783245639,3.2412611291275057,0.9999998540539295,-24.150389934797737,-64.37528545031518,20.0,189.52994042429012,840,192.34259291632722,-0.008434397949680816,-0.00790964394801219
-264.81668,-24.41072705016172,285.546887966805,1,493,22326.590706082883,2.1966804979253114,0,5,2.4945947900346073,-9.434592342042824e-18,-3.647636553683125,3.0603170304585676,0.9999998628689504,-24.18393483699796,-70.47649081746214,20.0,212.66916693521466,900,216.0671091542387,-0.015792620951272873,-0.016837776296439566
-227.38333,-21.46834868791492,297.44287230279446,1,498,19783.7352401404,2.0495224619738237,0,5,2.504445297249262,-1.0053664460701807e-17,-3.249281460645263,2.891930350334554,0.9999998628081432,-22.07942902520799,-69.51987992353597,20.0,213.76134137180873,960,216.53583458801162,-0.0076795418893775835,-0.009166872472440746
-292.03333,-23.612581403473367,308.38454996456414,1,492,17257.822213457992,2.1006378454996457,0,5,2.493911712217612,-2.0142954947132536e-17,-3.7114818782506416,3.144461317366034,0.9999998540798922,-23.028944867771003,-73.96843750056695,20.0,189.72423736768854,1020,191.50705739037608,-0.008578639588771475,-0.009071066060807098
